,Unnamed: 0,title,price,availability,price_category
38,38,"The Wicked + The Divine, Vol. 3: Commercial Suicide (The Wicked + The Divine)",50.96,In stock,Premium
39,39,Black Dust,32.24,In stock,Standard
40,40,The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy #2),50.26,In stock,Premium
41,41,Daredevils,16.28,In stock,Budget
42,42,Better Homes and Gardens New Cook Book,36.55,In stock,Standard
43,43,Sapiens: A Brief History of Humankind,47.82,In stock,Standard
44,44,Camp Midnight,16.77,In stock,Budget
45,45,The Psychopath Test: A Journey Through the Madness Industry,56.06,In stock,Premium
46,46,The Cat in the Hat (Beginner Books B-1),51.32,In stock,Premium
47,47,The Art of Not Breathing,27.7,In stock,Standard
48,48,Born for This: How to Find the Work You Were Meant to Do,18.13,In stock,Budget
49,49,The Omnivore's Dilemma: A Natural History of Four Meals,41.05,In stock,Standard
50,50,The Day the Crayons Came Home (Crayons),21.12,In stock,Standard
51,51,Join,18.02,In stock,Budget
52,52,"The Sleep Revolution: Transforming Your Life, One Night at a Time",14.02,In stock,Budget
53,53,The Testament of Mary,34.2,In stock,Standard
54,54,The Murder of Roger Ackroyd (Hercule Poirot #4),22.08,In stock,Standard
55,55,Camp Midnight,33.63,In stock,Standard
56,56,Fun Home: A Family Tragicomic,24.8,In stock,Standard
57,57,Frankenstein,34.74,In stock,Standard
58,58,How Music Works,20.66,In stock,Standard
59,59,Harry Potter and the Deathly Hallows (Harry Potter #7),43.64,In stock,Standard
60,60,Bounty (Colorado Mountain #7),57.06,In stock,Premium
61,61,My Kitchen Year: 136 Recipes That Saved My Life,54.36,In stock,Premium
62,62,The Fellowship of the Ring (The Lord of the Rings #1),18.13,In stock,Budget
63,63,The Gray Rhino: How to Recognize and Act on the Obvious Dangers We Ignore,50.96,In stock,Premium
64,64,Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,23.82,In stock,Standard
65,65,Booked,25.83,In stock,Standard
66,66,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",50.4,In stock,Premium
67,67,The Testament of Mary,48.35,In stock,Standard
68,68,Diary of a Minecraft Zombie Book 1: A Scare of a Dare (An Unofficial Minecraft Book),57.82,In stock,Premium
69,69,Annie on My Mind,30.95,In stock,Standard
70,70,"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",57.25,In stock,Premium
71,71,If I Run (If I Run #1),19.22,In stock,Budget
72,72,The Giver (The Giver Quartet #1),47.31,In stock,Standard
73,73,The Maze Runner (The Maze Runner #1),55.46,In stock,Premium
74,74,Fellside,15.28,In stock,Budget
75,75,Angels Walking (Angels Walking #1),56.51,In stock,Premium
76,76,"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",40.85,In stock,Standard
77,77,The Purpose Driven Life: What on Earth Am I Here for?,31.58,In stock,Standard
78,78,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",19.83,In stock,Budget
79,79,Old School (Diary of a Wimpy Kid #10),25.55,In stock,Standard
80,80,Brazen: The Courage to Find the You That's Been Hiding,54.07,In stock,Premium
81,81,Harry Potter and the Order of the Phoenix (Harry Potter #5),48.48,In stock,Standard
82,82,The Whale,24.57,In stock,Standard
83,83,How Music Works,51.33,In stock,Premium
84,84,"Surely You're Joking, Mr. Feynman!: Adventures of a Curious Character",47.8,In stock,Standard
85,85,A Flight of Arrows (The Pathfinders #2),35.67,In stock,Standard
86,86,Wild: From Lost to Found on the Pacific Crest Trail,23.21,In stock,Standard
87,87,The Girl In The Ice (DCI Erika Foster #1),43.87,In stock,Standard
88,88,"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",34.0,In stock,Standard
89,89,Crown of Midnight (Throne of Glass #2),37.1,In stock,Standard
90,90,"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",49.46,In stock,Standard
91,91,"The Land of 10,000 Madonnas",42.91,In stock,Standard
92,92,Harry Potter and the Order of the Phoenix (Harry Potter #5),23.63,In stock,Standard
93,93,The Testament of Mary,25.08,In stock,Standard
94,94,John Adams,14.64,In stock,Budget
95,95,Tell Me Three Things,24.55,In stock,Standard
96,96,The Goldfinch,59.95,In stock,Premium
97,97,See America: A Celebration of Our National Parks & Treasured Sites,59.9,In stock,Premium
98,98,The Secret Garden,36.39,In stock,Standard
99,99,Fool Me Once,34.93,In stock,Standard
100,100,Dark Places,20.44,In stock,Standard
101,101,The Girl Who Played with Fire (Millennium Trilogy #2),54.81,In stock,Premium
102,102,Silence in the Dark (Logan Point #4),28.03,In stock,Standard
103,103,11/22/63,54.81,In stock,Premium
104,104,"The Sleep Revolution: Transforming Your Life, One Night at a Time",59.45,In stock,Premium
105,105,The Giver (The Giver Quartet #1),35.01,In stock,Standard
106,106,The Stranger,19.73,In stock,Budget
107,107,Greek Mythic History,54.81,In stock,Premium
108,108,Olio,14.07,In stock,Budget
109,109,Some Women,44.81,In stock,Standard
110,110,Gone with the Wind,31.63,In stock,Standard
111,111,Soul Reader,58.08,In stock,Premium
112,112,The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,26.12,In stock,Standard
113,113,The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,41.62,In stock,Standard
114,114,A Gathering of Shadows (Shades of Magic #2),49.71,In stock,Standard
115,115,The Bad-Ass Librarians of Timbuktu: And Their Race to Save the Worldâs Most Precious Manuscripts,26.2,In stock,Standard
116,116,First Steps for New Christians (Print Edition),17.44,In stock,Budget
117,117,Fighting Fate (Fighting #6),40.44,In stock,Standard
118,118,Holidays on Ice,40.2,In stock,Standard
119,119,"Fruits Basket, Vol. 4 (Fruits Basket #4)",46.08,In stock,Standard
120,120,"Codename Baboushka, Volume 1: The Conclave of Death",25.38,In stock,Standard
121,121,Angels & Demons (Robert Langdon #1),48.63,In stock,Standard
122,122,I Know Why the Caged Bird Sings (Maya Angelou's Autobiography #1),22.14,In stock,Standard
123,123,The Shack,49.67,In stock,Standard
124,124,Scarlett Epstein Hates It Here,18.46,In stock,Budget
125,125,It Didn't Start with You: How Inherited Family Trauma Shapes Who We Are and How to End the Cycle,49.53,In stock,Standard
126,126,Letter to a Christian Nation,23.32,In stock,Standard
127,127,The Stand,52.25,In stock,Premium
128,128,Some Women,59.99,In stock,Premium
129,129,Mockingjay (The Hunger Games #3),46.49,In stock,Standard
130,130,Man's Search for Meaning,43.62,In stock,Standard
131,131,Where Lightning Strikes (Bleeding Stars #3),30.66,In stock,Standard
132,132,Settling the Score (The Summer Games #1),58.35,In stock,Premium
133,133,The Guernsey Literary and Potato Peel Pie Society,43.04,In stock,Standard
134,134,Tipping Point for Planet Earth: How Close Are We to the Edge?,48.63,In stock,Standard
135,135,Wild Swans,23.99,In stock,Standard
136,136,World War Z: An Oral History of the Zombie War,11.45,In stock,Budget
137,137,Where Lightning Strikes (Bleeding Stars #3),59.04,In stock,Premium
138,138,Nap-a-Roo,32.01,In stock,Standard
139,139,Pride and Prejudice,43.63,In stock,Standard
140,140,"Love, Lies and Spies",32.61,In stock,Standard
141,141,The Wright Brothers,12.61,In stock,Budget
142,142,The Haters,52.88,In stock,Premium
143,143,"Ajin: Demi-Human, Volume 1 (Ajin: Demi-Human #1)",16.97,In stock,Budget
144,144,"Bleach, Vol. 1: Strawberry and the Soul Reapers (Bleach #1)",16.97,In stock,Budget
145,145,The Course of Love,27.35,In stock,Standard
146,146,The Silent Twin (Detective Jennifer Knight #3),55.55,In stock,Premium
147,147,The Name of God is Mercy,10.02,In stock,Budget
148,148,"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",37.34,In stock,Standard
149,149,The Girl Who Played with Fire (Millennium Trilogy #2),33.92,In stock,Standard
150,150,Benjamin Franklin: An American Life,20.1,In stock,Standard
151,151,Gone Girl,16.23,In stock,Budget
152,152,The Hobbit (Middle-Earth Universe),56.0,In stock,Premium
153,153,Nightstruck: A Novel,57.22,In stock,Premium
154,154,Soumission,56.06,In stock,Premium
155,155,"Fruits Basket, Vol. 2 (Fruits Basket #2)",40.87,In stock,Standard
156,156,Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,30.25,In stock,Standard
157,157,Take Me Home Tonight (Rock Star Romance #3),27.88,In stock,Standard
158,158,"Orchestra of Exiles: The Story of Bronislaw Huberman, the Israel Philharmonic, and the One Thousand Jews He Saved from Nazi Horrors",37.05,In stock,Standard
159,159,"A Series of Catastrophes and Miracles: A True Story of Love, Science, and Cancer",56.76,In stock,Premium
160,160,The Wright Brothers,36.28,In stock,Standard
161,161,The Power Greens Cookbook: 140 Delicious Superfood Recipes,42.78,In stock,Standard
162,162,The Course of Love,37.19,In stock,Standard
163,163,Logan Kade (Fallen Crest High #5.5),13.12,In stock,Budget
164,164,Dark Places,27.8,In stock,Standard
165,165,"Skip Beat!, Vol. 01 (Skip Beat! #1)",18.88,In stock,Budget
166,166,Outlander (Outlander #1),41.32,In stock,Standard
167,167,The Catcher in the Rye,34.32,In stock,Standard
168,168,Set Me Free,26.41,In stock,Standard
169,169,Kill 'Em and Leave: Searching for James Brown and the American Soul,59.9,In stock,Premium
170,170,Chase Me (Paris Nights #2),46.35,In stock,Standard
171,171,House of Leaves,54.86,In stock,Premium
172,172,Everyday Italian: 125 Simple and Delicious Recipes,43.58,In stock,Standard
173,173,"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",30.81,In stock,Standard
174,174,Grumbles,29.17,In stock,Standard
175,175,The Girl Who Kicked the Hornet's Nest (Millennium Trilogy #3),27.41,In stock,Standard
176,176,"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",12.23,In stock,Budget
177,177,A Year in Provence (Provence #1),12.08,In stock,Budget
178,178,"Black Butler, Vol. 1 (Black Butler #1)",21.12,In stock,Standard
179,179,It's Never Too Late to Begin Again: Discovering Creativity and Meaning at Midlife and Beyond,19.21,In stock,Budget
180,180,The Story of Hong Gildong,18.74,In stock,Budget
181,181,The Fault in Our Stars,51.74,In stock,Premium
182,182,Sleeping Giants (Themis Files #1),40.2,In stock,Standard
183,183,Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,37.97,In stock,Standard
184,184,Smarter Faster Better: The Secrets of Being Productive in Life and Business,59.92,In stock,Premium
185,185,The Star-Touched Queen,15.77,In stock,Budget
186,186,Hollow City (Miss Peregrineâs Peculiar Children #2),20.88,In stock,Standard
187,187,Becoming Wise: An Inquiry into the Mystery and Art of Living,46.91,In stock,Standard
188,188,The Darkest Lie,55.84,In stock,Premium
189,189,Diary of a Citizen Scientist: Chasing Tiger Beetles and Other New Ways of Engaging the World,34.79,In stock,Standard
190,190,Living Forward: A Proven Plan to Stop Drifting and Get the Life You Want,10.79,In stock,Budget
191,191,Mrs. Houdini,56.02,In stock,Premium
192,192,My Name Is Lucy Barton,12.61,In stock,Budget
193,193,The Joy of Cooking,49.98,In stock,Standard
194,194,Neither Here nor There: Travels in Europe,21.94,In stock,Standard
195,195,A Flight of Arrows (The Pathfinders #2),14.75,In stock,Budget
196,196,"Layered: Baking, Building, and Styling Spectacular Cakes",18.78,In stock,Budget
197,197,Inferno (Robert Langdon #4),20.02,In stock,Standard
198,198,The Shining (The Shining #1),20.02,In stock,Standard
199,199,"The Sleep Revolution: Transforming Your Life, One Night at a Time",52.37,In stock,Premium
200,200,This One Summer,19.49,In stock,Budget
201,201,City of Glass (The Mortal Instruments #3),56.37,In stock,Premium
202,202,"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",29.69,In stock,Standard
203,203,Carrie,25.01,In stock,Standard
204,204,The Story of Art,59.48,In stock,Premium
205,205,Benjamin Franklin: An American Life,34.5,In stock,Standard
206,206,Eclipse (Twilight #3),31.45,In stock,Standard
207,207,A Spy's Devotion (The Regency Spies of London #1),28.42,In stock,Standard
208,208,Raspberry Pi Electronics Projects for the Evil Genius,40.11,In stock,Standard
209,209,Robin War,28.13,In stock,Standard
210,210,World War Z: An Oral History of the Zombie War,24.61,In stock,Standard
211,211,Crown of Midnight (Throne of Glass #2),32.24,In stock,Standard
212,212,Join,46.91,In stock,Standard
213,213,Something More Than This,53.9,In stock,Premium
214,214,Something More Than This,22.11,In stock,Standard
215,215,Jurassic Park (Jurassic Park #1),20.75,In stock,Standard
216,216,Mere Christianity,56.27,In stock,Premium
217,217,Catching Jordan (Hundred Oaks),14.58,In stock,Budget
218,218,My Perfect Mistake (Over the Top #1),22.2,In stock,Standard
219,219,Drama,45.56,In stock,Standard
220,220,When We Collided,15.94,In stock,Budget
221,221,Ash,30.89,In stock,Standard
222,222,A Storm of Swords (A Song of Ice and Fire #3),39.51,In stock,Standard
223,223,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",48.87,In stock,Standard
224,224,'Salem's Lot,15.79,In stock,Budget
225,225,"Carry On, Warrior: Thoughts on Life Unarmed",58.87,In stock,Premium
226,226,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",26.41,In stock,Standard
227,227,Scarlett Epstein Hates It Here,33.97,In stock,Standard
228,228,Sleeping Giants (Themis Files #1),22.14,In stock,Standard
229,229,The Smitten Kitchen Cookbook,41.81,In stock,Standard
230,230,Meternity,32.49,In stock,Standard
231,231,Steal Like an Artist: 10 Things Nobody Told You About Being Creative,52.67,In stock,Premium
232,232,Lust & Wonder,15.28,In stock,Budget
233,233,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,23.88,In stock,Standard
234,234,Robin War,35.28,In stock,Standard
235,235,Me Talk Pretty One Day,36.52,In stock,Standard
236,236,Night (The Night Trilogy #1),47.51,In stock,Standard
237,237,Golden (Heart of Dread #3),18.74,In stock,Budget
238,238,Off Sides (Off #1),17.81,In stock,Budget
239,239,Robin War,13.33,In stock,Budget
240,240,"The Midnight Assassin: Panic, Scandal, and the Hunt for America's First Serial Killer",52.86,In stock,Premium
241,241,"Unstuffed: Decluttering Your Home, Mind, and Soul",34.79,In stock,Standard
242,242,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,48.39,In stock,Standard
243,243,"Data, A Love Story: How I Gamed Online Dating to Meet My Match",43.45,In stock,Standard
244,244,Sister Dear,58.79,In stock,Premium
245,245,The Tumor,48.71,In stock,Standard
246,246,Charlie and the Chocolate Factory (Charlie Bucket #1),42.12,In stock,Standard
247,247,"The Sleep Revolution: Transforming Your Life, One Night at a Time",29.48,In stock,Standard
248,248,"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",48.56,In stock,Standard
249,249,My Mrs. Brown,54.21,In stock,Premium
250,250,Aladdin and His Wonderful Lamp,31.12,In stock,Standard
251,251,Peak: Secrets from the New Science of Expertise,38.38,In stock,Standard
252,252,Travels with Charley: In Search of America,33.78,In stock,Standard
253,253,A World of Flavor: Your Gluten Free Passport,38.2,In stock,Standard
254,254,Slow States of Collapse: Poems,25.02,In stock,Standard
255,255,The High Mountains of Portugal,10.79,In stock,Budget
256,256,Shoe Dog: A Memoir by the Creator of NIKE,24.12,In stock,Standard
257,257,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,12.84,In stock,Budget
258,258,The Girl Who Played with Fire (Millennium Trilogy #2),11.87,In stock,Budget
259,259,The Lover's Dictionary,52.51,In stock,Premium
260,260,Still Life with Bread Crumbs,11.68,In stock,Budget
261,261,"Paper Girls, Vol. 1 (Paper Girls #1-5)",52.94,In stock,Premium
262,262,The Vacationers,36.72,In stock,Standard
263,263,Unreasonable Hope: Finding Faith in the God Who Brings Purpose to Your Pain,39.67,In stock,Standard
264,264,I Am Malala: The Girl Who Stood Up for Education and Was Shot by the Taliban,44.29,In stock,Standard
265,265,The Bone Hunters (Lexy Vaughan & Steven Macaulay #2),26.78,In stock,Standard
266,266,Mr. Mercedes (Bill Hodges Trilogy #1),41.06,In stock,Standard
267,267,The Silent Sister (Riley MacPherson #1),38.28,In stock,Standard
268,268,The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,45.07,In stock,Standard
269,269,The Power of Now: A Guide to Spiritual Enlightenment,21.36,In stock,Standard
270,270,The Silent Twin (Detective Jennifer Knight #3),15.85,In stock,Budget
271,271,Gone Girl,39.77,In stock,Standard
272,272,The Secret Healer,27.7,In stock,Standard
273,273,"Lamb: The Gospel According to Biff, Christ's Childhood Pal",11.48,In stock,Budget
274,274,America's War for the Greater Middle East: A Military History,19.69,In stock,Budget
275,275,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",44.14,In stock,Standard
276,276,Something More Than This,27.37,In stock,Standard
277,277,The Martian (The Martian #1),11.21,In stock,Budget
278,278,"House of Lost Worlds: Dinosaurs, Dynasties, and the Story of Life on Earth",24.72,In stock,Standard
279,279,Kitchens of the Great Midwest,53.82,In stock,Premium
280,280,Can You Keep a Secret?,59.98,In stock,Premium
281,281,Slow States of Collapse: Poems,33.63,In stock,Standard
282,282,Red: The True Story of Red Riding Hood,40.2,In stock,Standard
283,283,Shopaholic & Baby (Shopaholic #5),27.8,In stock,Standard
284,284,The Perks of Being a Wallflower,54.07,In stock,Premium
285,285,Deep Under (Walker Security #1),22.85,In stock,Standard
286,286,John Vassos: Industrial Design for Modern Life,20.9,In stock,Standard
287,287,"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",40.76,In stock,Standard
288,288,The Year of Magical Thinking,34.95,In stock,Standard
289,289,Sarah's Key,38.71,In stock,Standard
290,290,The New Drawing on the Right Side of the Brain,31.85,In stock,Standard
291,291,Feathers: Displays of Brilliant Plumage,41.46,In stock,Standard
292,292,Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),17.24,In stock,Budget
293,293,The Grand Design,58.0,In stock,Premium
294,294,"Ouran High School Host Club, Vol. 1 (Ouran High School Host Club #1)",39.39,In stock,Standard
295,295,"""Most Blessed of the Patriarchs"": Thomas Jefferson and the Empire of the Imagination",30.6,In stock,Standard
296,296,"Trespassing Across America: One Man's Epic, Never-Done-Before (and Sort of Illegal) Hike Across the Heartland",45.51,In stock,Standard
297,297,Shopaholic & Baby (Shopaholic #5),10.01,In stock,Budget
298,298,Deception Point,19.43,In stock,Budget
299,299,My Mother Was Nuts,14.82,In stock,Budget
300,300,#GIRLBOSS,38.02,In stock,Standard
301,301,Shameless,14.4,In stock,Budget
302,302,1491: New Revelations of the Americas Before Columbus,35.28,In stock,Standard
303,303,It,20.22,In stock,Standard
304,304,The First Hostage (J.B. Collins #2),48.35,In stock,Standard
305,305,The Bone Hunters (Lexy Vaughan & Steven Macaulay #2),47.22,In stock,Standard
306,306,In the Country We Love: My Family Divided,44.74,In stock,Standard
307,307,"Giant Days, Vol. 2 (Giant Days #5-8)",37.34,In stock,Standard
308,308,Legend (Legend #1),24.04,In stock,Standard
309,309,A Clash of Kings (A Song of Ice and Fire #2),34.06,In stock,Standard
310,310,The Last Painting of Sara de Vos,49.45,In stock,Standard
311,311,Gone Girl,19.07,In stock,Budget
312,312,Please Kill Me: The Uncensored Oral History of Punk,36.94,In stock,Standard
313,313,Roller Girl,21.0,In stock,Standard
314,314,Little Red,33.14,In stock,Standard
315,315,The Dovekeepers,54.35,In stock,Premium
316,316,The Secret of Dreadwillow Carse,25.27,In stock,Standard
317,317,Far From True (Promise Falls Trilogy #2),38.89,In stock,Standard
318,318,"Saga, Volume 5 (Saga (Collected Editions) #5)",50.4,In stock,Premium
319,319,You can't bury them all: Poems,18.78,In stock,Budget
320,320,The Golden Compass (His Dark Materials #1),21.15,In stock,Standard
321,321,Smarter Faster Better: The Secrets of Being Productive in Life and Business,40.36,In stock,Standard
322,322,"Fruits Basket, Vol. 5 (Fruits Basket #5)",41.14,In stock,Standard
323,323,Meternity,48.48,In stock,Standard
324,324,The Travelers,32.49,In stock,Standard
325,325,Dune (Dune #1),38.95,In stock,Standard
326,326,Shopaholic & Baby (Shopaholic #5),59.71,In stock,Premium
327,327,The Testament of Mary,42.95,In stock,Standard
328,328,How to Be a Domestic Goddess: Baking and the Art of Comfort Cooking,50.96,In stock,Premium
329,329,Done Rubbed Out (Reightman & Bailey #1),16.24,In stock,Budget
330,330,The Hiding Place,34.41,In stock,Standard
331,331,The Diary of a Young Girl,55.35,In stock,Premium
332,332,Future Shock (Future Shock #1),53.51,In stock,Premium
333,333,The Tipping Point: How Little Things Can Make a Big Difference,36.8,In stock,Standard
334,334,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,40.72,In stock,Standard
335,335,Killing Floor (Jack Reacher #1),35.63,In stock,Standard
336,336,Midnight Riot (Peter Grant/ Rivers of London - books #1),33.78,In stock,Standard
337,337,Cinder (The Lunar Chronicles #1),56.7,In stock,Premium
338,338,Life of Pi,23.21,In stock,Standard
339,339,The Makings of a Fatherless Child,11.05,In stock,Budget
340,340,The Haters,14.76,In stock,Budget
341,341,The Perks of Being a Wallflower,21.94,In stock,Standard
342,342,Thirst,40.3,In stock,Standard
343,343,Hystopia: A Novel,49.67,In stock,Standard
344,344,I'll Give You the Sun,46.23,In stock,Standard
345,345,The Fault in Our Stars,31.58,In stock,Standard
346,346,"The Wicked + The Divine, Vol. 3: Commercial Suicide (The Wicked + The Divine)",27.41,In stock,Standard
347,347,Miller's Valley,31.63,In stock,Standard
348,348,The Immortal Life of Henrietta Lacks,16.85,In stock,Budget
349,349,The High Mountains of Portugal,46.58,In stock,Standard
350,350,Birdsong: A Story in Pictures,16.77,In stock,Budget
351,351,The Edge of Reason (Bridget Jones #2),14.4,In stock,Budget
352,352,Brazen: The Courage to Find the You That's Been Hiding,44.14,In stock,Standard
353,353,How to Be Miserable: 40 Strategies You Already Use,23.88,In stock,Standard
354,354,The Sense of an Ending,16.78,In stock,Budget
355,355,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",44.88,In stock,Standard
356,356,"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",18.46,In stock,Budget
357,357,Off Sides (Off #1),18.88,In stock,Budget
358,358,Some Women,20.44,In stock,Standard
359,359,The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,48.41,In stock,Standard
360,360,Red: The True Story of Red Riding Hood,23.21,In stock,Standard
361,361,Black Flags: The Rise of ISIS,52.25,In stock,Premium
362,362,A Time of Torment (Charlie Parker #14),15.42,In stock,Budget
363,363,Soldier (Talon #3),46.83,In stock,Standard
364,364,John Vassos: Industrial Design for Modern Life,59.45,In stock,Premium
365,365,A Court of Thorns and Roses (A Court of Thorns and Roses #1),41.25,In stock,Standard
366,366,Awkward,45.51,In stock,Standard
367,367,Don't Get Caught,37.1,In stock,Standard
368,368,Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),19.53,In stock,Budget
369,369,The Gunning of America: Business and the Making of American Gun Culture,19.27,In stock,Budget
370,370,Burning,21.96,In stock,Standard
371,371,The Secret Healer,55.66,In stock,Premium
372,372,Out of Print: City Lights Spotlight No. 14,19.22,In stock,Budget
373,373,Reservations for Two,36.8,In stock,Standard
374,374,Peak: Secrets from the New Science of Expertise,40.45,In stock,Standard
375,375,The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,23.11,In stock,Standard
376,376,"Saga, Volume 1 (Saga (Collected Editions) #1)",28.85,In stock,Standard
377,377,Isla and the Happily Ever After (Anna and the French Kiss #3),11.38,In stock,Budget
378,378,Out of Print: City Lights Spotlight No. 14,25.08,In stock,Standard
379,379,Remember Me?,31.3,In stock,Standard
380,380,"Will Grayson, Will Grayson (Will Grayson, Will Grayson)",17.76,In stock,Budget
381,381,Walt Disney's Alice in Wonderland,29.06,In stock,Standard
382,382,A Shard of Ice (The Black Symphony Saga #1),37.6,In stock,Standard
383,383,How to Speak Golf: An Illustrated Guide to Links Lingo,14.1,In stock,Budget
384,384,The Darkest Lie,11.83,In stock,Budget
385,385,"Eat, Pray, Love",34.74,In stock,Standard
386,386,The Crossover,11.84,In stock,Budget
387,387,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",14.27,In stock,Budget
388,388,Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),56.48,In stock,Premium
389,389,What If?: Serious Scientific Answers to Absurd Hypothetical Questions,55.65,In stock,Premium
390,390,Night (The Night Trilogy #1),14.57,In stock,Budget
391,391,The Fault in Our Stars,13.76,In stock,Budget
392,392,What Happened on Beale Street (Secrets of the South Mysteries #2),56.51,In stock,Premium
393,393,The Smitten Kitchen Cookbook,38.13,In stock,Standard
394,394,Harry Potter and the Deathly Hallows (Harry Potter #7),39.43,In stock,Standard
395,395,Harry Potter and the Order of the Phoenix (Harry Potter #5),59.48,In stock,Premium
396,396,"Shrunken Treasures: Literary Classics, Short, Sweet, and Silly",17.8,In stock,Budget
397,397,Shadow Rites (Jane Yellowrock #10),58.35,In stock,Premium
